pays esp_vie_F mort_inf activ_F %_chom. pnb/hb %_education %_santé
Allemagne 74.8 4.4 48.8 8.2 26768 4.3 10.6
Autriche 75.4 4.8 49 4.1 29075 4.9 8
Belgique 75.1 5 42.3 7.3 27952 5.8 8.8
Chypre 75.3 5.6 50.9 3.8 12724 5.8 6
Danemark 74.5 5.3 73.8 4.5 30096 8.1 8.4
Espagne 75.6 3.9 40.3 11.4 22538 5.6 7.7
Estonie 64.9 8.4 52.2 6.8 10201 6.8 5.5
Finlande 74.6 3.8 56.8 9.1 27215 5.6 6.6
France 75.5 4.6 47.8 8.7 27560 5.6 9.4
Grèce 75.4 6.1 37.6 10.3 17670 2.3 9.2
Hongrie 68.4 9.2 45.6 8.4 12733 5.2 5.7
Irlande 73 5.9 47.5 4.4 32549 4.5 7.2
Italie 76.7 4.5 36 9.1 26946 4.6 8
Lettonie 64.5 10.4 49.7 8.5 7809 6.2 4.8
Lituanie 65.9 8.6 54.6 10.9 8359 5.2 5.7
Luxembourg 75.2 5.8 42.5 2.4 50410 4 6.1
Malte 76.2 6 22.9 7.4 9875 5.7 8.9
Norvège 76.2 3.8 69.2 3.9 37070 7.4 8.5
Pays_Bas 75.5 5.1 52.9 2.7 29614 5.2 8.2
Pologne 70.3 8.1 49.5 18.1 9852 5.1 4.2
Portugal 72.4 5.5 54.1 5 18500 5.5 8.2
Royaume_Uni 75 5.6 53 5.1 26756 4.7 7.3
Slovaquie 69.7 8.6 52.9 17.4 12314 4.3 6.4
Slovénie 72.3 4.9 51.3 11.3 17762 5.2 8.2
Suède 77.5 3.4 76.2 4.9 26849 7.3 7.9
Suisse 77.2 4.9 58.8 3.1 30058 5.1 10.7
Tchéquie 72.2 4.1 51.3 9.8 15011 4.6 7.4
